School,city,category,website,description,verification_status,address,phone
Eleanor Roosevelt High School,New York,Public,www.erhsnyc.org,Eleanor Roosevelt High School provides a supportive and rigorous college preparatory environment that places emphasis on giving back to the community. Students take four years in all core subjects and work towards achieving an Advanced Regents diploma.,Verified,"411 East 76th Street, New York, NY 10021",212-772-1220
Vanguard High School,New York,Public,www.vanguardnyc.net,"Vanguard High School offers a challenging college preparatory program in a close-knit and nurturing environment. Access to technology, arts, extracurricular activities, and travel opportunities through our partnerships enable our students to develop as analytical, articulate, and reflective citizens who care about and engage with the world around them to make positive change. We support our students in pursuing internships and connect them to mentors, opportunities, and programs and start yearly college exploration in 9th grade. At Vanguard, you will develop your own perspective, connect with a diverse group of peers, and express yourself in a safe and welcoming environment where you are known and cared about and your voice is valued.",Verified,"317 East 67th Street, New York, NY 10065",212-517-5175
Manhattan International High School,New York,Public,www.mihsnyc.org,"We are a small vibrant multicultural community (over 50 nationalities and 40 languages spoken) serving students who are new learners of English. Our teachers work in teams to create challenging interdisciplinary curricula and provide mastery-based skills and knowledge necessary for success in careers and higher education. Students receive personal attention from teachers and 1 counselor is available per 75 students. Students work collaboratively on hands-on projects to support one another's linguistic and academic growth. Students present Portfolios as a requirement for graduation. We have a 1 to 1 iPad program, a Software Engineering Program and Advanced Placement (AP) Classes. MIHS has been recognized as an Apple Distinguished School.",Verified,"317 East 67th Street, New York, NY 10065",212-517-6728
Talent Unlimited High School,New York,Public,tuhs.nyc,"We are an inclusive ensemble, empowering diverse individuals to collaborate, explore, and take responsibility for authentic, bold choices in a student-centered learning environment. We provide our students with a rigorous dual focus in both the performing and liberal arts. The balance of the two supports all students to become life-long artists and learners. Our staff sets high expectations for all students. Our guidance team ensures that each child is supported in various ways over the course of every year. Our learning community is comprised of families from all five boroughs, mirroring the diversity of NYC Public Schools. We are conveniently located one block from our CUNY partner, Hunter College, on the Upper East Side.",Verified,"317 East 67th Street, New York, NY 10065",212-737-1530
Life Sciences Secondary School,New York,Public,www.lifesciencesny.org,"At Life Sciences Secondary School, we provide a culturally-responsive and rigorous academic curriculum that facilitates the development of student voice, self-expression, leadership, and advocacy across all subject areas. We offer our students a variety of elective courses, Advanced Placement (AP) courses, extracurricular activities, and athletic programs that allow them to pursue their passions. Students also have opportunities to participate in internships in the science field and take College Now courses at Hunter College. We nurture a safe environment through restorative practices where students know that they are capable of growing and improving. Our commitment is to prepare every student for high school, college, careers, and beyond.",Verified,"320 East 96th Street, New York, NY 10128",212-348-1694
West End Secondary School,New York,Public,https://www.westendsecondary.com/,"We promote and support scholarly endeavors through a rich and varied curriculum, emphasizing our core values of creativity, compassion, wonder, and resilience. Through an interdisciplinary approach, utilizing New York City as a learning lab, students experience rigorous coursework through authentic expeditions, which culminate in public presentations of learning. Expeditions engage students in case studies that examine and analyze compelling topics from a variety of perspectives. All students work towards achieving an Advance Regents diploma and have the opportunity to take several Advanced Placement (AP) courses. WESS offers extensive opportunities to participate in sports, clubs, course-related travel, and service learning.",Verified,"227-243 West 61st Street, New York, NY 10023",212-245-1506
"Maxine Greene High School for Imaginative Inquiry, The",New York,Public,https://www.mghs.nyc,"The Maxine Greene High School for Imaginative Inquiry (MGHS) is a learning community in which deep engagement with works of art enhances the imaginative capacity of all students. In partnership with The Maxine Greene Institute our teachers work with the Institute's Teaching Artists to explore Imaginative Inquiry across the curriculum. Through our Restorative Practices, we work to foster the sense of self-worth, empathy, and agency necessary for students to become participatory citizens who will create a more just, humane, and vibrant world.",Verified,"122 Amsterdam Avenue, New York, NY 10023",212-799-4064
"Urban Assembly School for Media Studies, The",New York,Public,UAMHighSchool.org,"UAM is a school that is focused on bringing out the best in all students' thinking so that they are able to achieve at high levels. UAM graduates are able to respond to the world by making choices that maximize positive outcomes for themselves and others. UAM is focused on students becoming better critical thinkers, not just acquiring more knowledge. As a result our students are able to respond productively in novel situations. UAM students are able to solve problems, access, analyze, and evaluate information and messages from a range of media, make a decision, and express their thinking verbally and in writing. As a result, UAM students are prepared to perform well in college, their career, life and be productive members of communities.",Verified,"122 Amsterdam Avenue, New York, NY 10023",212-501-1110
Fiorello H. LaGuardia High School of Music & Art and Performing Arts,New York,Public,laguardiahs.org,"We have an international reputation as the first and foremost high school committed to nurturing students dedicated to the arts. Our dual mission provides a uniquely balanced educational experience that includes both demanding conservatory-style training and a rigorous, comprehensive academic program. Our world-class facilities include a concert hall and two theaters; art, dance, music, recording and theater studios; science and computer labs; and a professional art gallery. We structure student schedules to allocate multiple periods of arts each day. Graduates gain admission to highly selective schools and distinguish themselves in every field, including the arts and sciences, medicine, law, business, education, and public service.",Verified,"100 Amsterdam Avenue, New York, NY 10023",212-496-0700
"High School for Law, Advocacy and Community Justice",New York,Public,www.lacjhs.org,"Our mission is to create a climate that promotes excellence in learning. Our students develop into intelligent, critical thinkers who are supportive members of their communities. We accomplish this through collaboration and a personal learning atmosphere. Our culture celebrates success with high expectations for students as well as adults. The students will be immersed in the study, inquiry, and advocacy of law, with required involvement in community service, thus enabling them to realize their individual potential throughout the greater community. Our hope is that students will view themselves as pioneers of the new millennium, and we expect them to be counted among the great success stories of tomorrow.",Verified,"122 Amsterdam Avenue, New York, NY 10023",212-501-1201
